"fips","year","med_rent_2br"
"02230","2018",1467
"02232","2007",1123
"02232","2008",1222
"02232","2009",1252
"02232","2010",1313
"02240","2007",956
"02240","2008",1037
"02240","2009",1062
"02240","2010",1114
"02240","2011",1084
"02240","2012",918
"02240","2013",1202
"02240","2014",968
"02240","2015",1018
"02240","2016",1258
"02240","2017",1295
"02240","2018",1301
"02261","2007",956
"02261","2008",1037
"02261","2009",1062
"02261","2010",1114
"02261","2011",1084
"02261","2012",802
"02261","2013",955
"02261","2014",888
"02261","2015",1042
"02261","2016",1237
"02261","2017",1226
"02261","2018",1278
"02270","2007",1123
"02270","2008",1222
"02270","2009",1252
"02270","2010",1313
"02270","2011",1278
"02270","2012",719
"02270","2013",980
"02270","2014",865
"02270","2015",911
"02270","2016",939
"02270","2017",1068
"02275","2011",1278
"02275","2012",767
"02275","2013",840
"02275","2014",850
"02275","2015",850
"02275","2016",882
"02275","2017",1052
"02275","2018",1004
"02280","2007",1123
"02280","2008",1222
"02280","2009",1252
"02280","2010",1313
"02282","2007",1123
"02282","2008",1222
"02282","2009",1252
"02282","2010",1313
"02282","2011",1278
"02282","2012",996
"02282","2013",962
"02282","2014",745
"02282","2015",905
"02282","2016",1057
"02282","2017",1265
"02282","2018",1180
"02290","2007",1123
"02290","2008",1222
"02290","2009",1252
"02290","2010",1313
"02290","2011",1278
"02290","2012",739
"02290","2013",845
"02290","2014",745
"02290","2015",769
"02290","2016",811
"02290","2017",875
"02290","2018",841
"04001","2007",547
"04001","2008",602
"04001","2009",621
"04001","2010",656
"04001","2011",676
"04001","2012",640
"04001","2013",647
"04001","2014",637
"04001","2015",659
"04001","2016",913
"04001","2017",681
"04001","2018",697
"04003","2007",663
"04003","2008",727
"04003","2009",749
"04003","2010",791
"04003","2011",816
"04003","2012",755
"04003","2013",772
"04003","2014",908
"04003","2015",829
"04003","2016",902
"04003","2017",832
"04003","2018",852
"04005","2007",996
"04005","2008",1109
"04005","2009",1144
"04005","2010",1208
"04005","2011",1246
"04005","2012",950
"04005","2013",1148
"04005","2014",1090
"04005","2015",1212
"04005","2016",1216
"04005","2017",1110
"04005","2018",1206
"04007","2007",773
"04007","2008",850
"04007","2009",877
"04007","2010",926
