"year","fips","total_population","land_area","pop_density","pop_65_74","pop_75_84","pop_85_up","black_pop","hispanic_pop","hh_inc","gini3","home_value","poor_renter_units","no_burden_info4","pov_universe","extreme_pov_pop","pov_pop","owner_units","burdened_owners1","burdened_owners2","poor_burdened_renters","renter_units","burdened_renters"
"2007","12057",1174727,1117.82026864799,1050.90865942236,74087,45081,18190,187694,263156,50572,0.467000007629395,222800,38653,5844,1151769,54887,132933,298617,108033,77078,36214,148784,82034
"2007","12061",131837,261.981043745344,503.231066321543,13628,14522,4853,11276,,46081,0.497000008821487,213500,2603,687,130516,4099,12429,43276,15948,11764,2485,13149,8902
"2007","12069",301059,315.856876134428,953.15005861031,36752,36802,8814,27110,31072,46797,0.421000003814697,202800,5384,1764,297601,9735,25111,93375,29325,21708,4299,22905,11013
"2007","12071",590564,734.870150544463,803.630409484523,61701,52553,16782,44674,101531,50699,0.470999985933304,241100,12765,2986,584111,24763,60076,181750,77447,58408,11845,60163,34701
"2007","12073",260945,391.374522949402,666.739873698256,13230,7619,2133,79930,11577,49234,0.46399998664856,201900,16067,2432,249660,26806,43393,62284,16587,7532,15192,40998,25339
"2007","12081",315108,425.231486065552,741.026970781332,30637,30318,9099,25313,41392,48980,0.437999993562698,238100,6197,1840,311747,9449,33221,95649,36545,25728,5794,30302,16359
"2007","12083",324857,205.754373809267,1578.85829586855,35993,30861,10970,37394,30108,39294,0.448000013828278,162700,8695,4064,316276,19332,40965,100454,30328,21370,7779,23294,12491
"2007","12085",139182,250.500523920933,555.615604396623,14955,16403,4810,9313,,55472,0.499000012874603,290200,2514,715,136008,4621,11172,46387,15508,11036,2271,12283,5668
"2007","12086",2387170,1226.66584631837,1946.06380145391,179587,123683,48957,470831,1479530,43650,0.493000000715256,318100,102334,11239,2324600,121445,356223,497291,262786,235508,91654,314627,202484
"2007","12087",73223,73.4496057032249,996.91481389103,6987,3104,846,,,60642,0.524999976158142,662200,1704,633,72998,3288,6345,19692,9270,9780,1507,8784,5169
"2007","12089",68450,105.056909787052,651.551622246898,6418,2583,1820,,,55978,0.40599998831749,225600,1226,1012,67770,3089,5684,20016,5382,2128,613,5971,1744
"2007","12091",181499,193.986663028989,935.626177418583,15269,6548,2615,16808,10286,55543,0.446999996900558,222800,5793,3084,176572,7941,16820,48931,12906,8238,5630,20821,10416
"2007","12095",1066113,1174.84562515117,907.449436059163,57718,32016,12866,205565,259240,51101,0.460999995470047,263000,32536,2733,1049212,56406,120847,244192,94515,76522,31031,143372,78973
"2007","12097",255815,193.520256108444,1321.90296325697,15844,10175,2652,26582,103608,48332,0.407000005245209,235300,6455,863,251738,9951,27185,61146,30179,23782,6072,30730,17698
"2007","12099",1266451,641.531125031155,1974.10686806271,109445,116880,48068,201201,218902,53453,0.513999998569489,308900,29296,5888,1245652,58194,127441,372711,163373,118654,26828,123371,73927
"2007","12101",462715,621.220499928253,744.848246401142,41320,38871,15728,19396,46245,44526,0.416000008583069,169700,11239,2189,454596,20372,55617,143824,49604,31734,10334,36583,18564
