GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Less than $10,000","Margin of Error; Less than $10,000","Estimate; $10,000 to $14,999","Margin of Error; $10,000 to $14,999","Estimate; $15,000 to $19,999","Margin of Error; $15,000 to $19,999","Estimate; $20,000 to $24,999","Margin of Error; $20,000 to $24,999","Estimate; $25,000 to $29,999","Margin of Error; $25,000 to $29,999","Estimate; $30,000 to $34,999","Margin of Error; $30,000 to $34,999","Estimate; $35,000 to $39,999","Margin of Error; $35,000 to $39,999","Estimate; $40,000 to $44,999","Margin of Error; $40,000 to $44,999","Estimate; $45,000 to $49,999","Margin of Error; $45,000 to $49,999","Estimate; $50,000 to $59,999","Margin of Error; $50,000 to $59,999","Estimate; $60,000 to $74,999","Margin of Error; $60,000 to $74,999","Estimate; $75,000 to $99,999","Margin of Error; $75,000 to $99,999","Estimate; $100,000 to $124,999","Margin of Error; $100,000 to $124,999","Estimate; $125,000 to $149,999","Margin of Error; $125,000 to $149,999","Estimate; $150,000 to $199,999","Margin of Error; $150,000 to $199,999","Estimate; $200,000 or more","Margin of Error; $200,000 or more"
0500000US55027,55027,"Dodge County, Wisconsin",34235,707,1939,520,1685,535,2086,564,1646,456,1549,391,1971,615,1870,559,1999,557,1847,469,3090,552,5197,632,4579,577,2240,505,1550,538,481,210,506,237
0500000US55035,55035,"Eau Claire County, Wisconsin",38457,1017,2862,671,2425,584,2452,615,3236,797,2440,741,1688,521,2682,807,2079,683,2055,579,2760,552,4575,725,4423,735,1891,496,865,387,1155,517,869,427
0500000US55039,55039,"Fond du Lac County, Wisconsin",39612,1021,2081,681,2785,666,2076,800,1765,510,2430,588,1829,548,2529,714,2284,513,2013,582,4330,793,5209,831,5438,734,2541,508,1249,409,636,284,417,178
0500000US55055,55055,"Jefferson County, Wisconsin",31334,827,2147,698,1076,440,1667,511,1362,617,1709,573,2035,562,1144,403,1549,434,1380,489,3283,627,4975,830,4584,854,2381,517,1016,357,365,150,661,296
0500000US55059,55059,"Kenosha County, Wisconsin",61341,1435,3800,998,3369,874,3432,946,2892,814,2498,782,3628,895,3658,861,2906,807,2404,740,5032,1096,6726,1181,8783,1358,6362,982,2568,698,2161,674,1122,438
0500000US55063,55063,"La Crosse County, Wisconsin",44714,943,3274,863,3151,912,3114,871,2307,728,2225,554,2427,677,2870,803,1942,645,1661,488,6023,1010,4360,903,5304,892,3194,605,1038,331,783,336,1041,369
0500000US55071,55071,"Manitowoc County, Wisconsin",33385,871,1386,609,2258,558,2068,583,1965,512,2168,578,2052,613,1988,484,1768,610,2003,545,3614,691,4707,727,3992,667,1252,363,1207,392,649,263,308,182
0500000US55073,55073,"Marathon County, Wisconsin",52461,1138,2020,601,3114,714,3165,912,2566,691,2647,671,3041,777,2671,685,2796,616,2622,551,5191,806,6247,849,8248,1043,3771,654,1673,434,1309,509,1380,403
0500000US55079,55079,"Milwaukee County, Wisconsin",372636,3437,30797,2547,27375,2134,24326,2445,24339,2112,23670,2256,24726,2205,19204,2437,20252,2295,17019,2209,32838,2789,36703,2663,41503,3041,23676,2130,11182,1574,7758,1205,7268,1086
0500000US55087,55087,"Outagamie County, Wisconsin",67812,949,3231,807,3450,743,2366,722,3794,976,2920,707,3685,869,3527,802,3040,618,3869,863,6533,1105,8648,1152,11484,1291,5766,845,2323,618,1683,442,1493,605
0500000US55089,55089,"Ozaukee County, Wisconsin",34045,801,1115,525,562,252,1135,508,1922,705,1328,474,1114,428,1250,482,1565,485,1287,600,2163,591,3624,760,5563,967,4736,933,1849,603,2189,637,2643,566
0500000US55097,55097,"Portage County, Wisconsin",26903,631,1733,531,1717,587,1616,411,1244,409,1714,524,1340,459,1473,450,1860,462,884,317,2130,520,3214,639,3845,727,1885,527,894,337,726,343,628,310
0500000US55101,55101,"Racine County, Wisconsin",74524,1524,3860,944,3643,814,4630,1006,4090,928,4633,1084,3983,942,3866,816,4185,927,3412,894,6716,1082,10112,1272,8562,1188,5708,1098,2978,734,2472,602,1674,476
